policy_number,policyholder_id,vehicle_vin,policy_type,coverage_level,currency,status,premium_amount,coverage_amount,deductible,start_date,end_date,has_roadside_assistance,has_rental_coverage,has_glass_coverage
POL-631297036696,ZW-PH-5693139143,ZLY5ZCH1AE4LEL5AF,COMPREHENSIVE,BASIC,USD,CANCELLED,625.89,27533.12,2315.54,2024-12-24,2025-12-24,False,False,False
POL-902307662701,ZW-PH-5693139143,70YTELML1YX0GHJA6,THIRD_PARTY,BASIC,USD,ACTIVE,729.24,18070.25,1727.52,2025-08-01,2026-08-01,False,False,False
POL-878318063654,ZW-PH-9713993784,KCV5JH7HC3450N5MP,COLLISION,BASIC,USD,CANCELLED,102.11,2290.67,205.24,2024-06-17,2025-06-17,False,False,False
POL-181262073457,ZW-PH-3047526733,G2KLVZ5WJDFDJ1WTH,COMPREHENSIVE,PREMIUM,USD,EXPIRED,132.78,2817.29,147.06,2024-08-24,2025-08-24,True,True,True
POL-494720377006,ZW-PH-6640471895,FNH2525LD9E94N37F,COMPREHENSIVE,STANDARD,USD,ACTIVE,465.59,19587.59,1551.34,2026-01-18,2027-01-18,True,True,False
POL-489978531854,ZW-PH-0175315114,T0057MX7B43LDKEUT,COMPREHENSIVE,PREMIUM,USD,EXPIRED,174.38,2262.62,121.96,2024-09-03,2025-09-03,True,True,True
POL-265793593187,ZW-PH-0175315114,EM4431S335G1AHXVM,COMPREHENSIVE,STANDARD,USD,EXPIRED,726.19,20940.66,1438.62,2025-04-02,2026-04-02,False,False,False
POL-944264631735,ZW-PH-0175315114,AU33HCDKTNVURCPHT,COMPREHENSIVE,STANDARD,USD,ACTIVE,1599.85,30365.75,2274.39,2025-06-16,2026-06-16,True,False,False
POL-309378421917,ZW-PH-7347477266,SC6ZU2T347ENMKURU,COLLISION,STANDARD,USD,ACTIVE,606.39,18958.15,1219.01,2026-01-28,2027-01-28,False,True,False
POL-904781884625,ZW-PH-3465049075,MVXJVBH0DTTY01312,COMPREHENSIVE,BASIC,USD,CANCELLED,405.24,9792.35,828.43,2026-01-19,2027-01-19,False,False,False
POL-767375863687,ZW-PH-7666665524,04E2P608DHJG0SF2L,LIABILITY,STANDARD,USD,CANCELLED,153.64,2571.25,191.04,2024-10-07,2025-10-07,False,False,False
POL-812902184195,ZW-PH-5194724711,G4PEX0YDA172RLRNM,COMPREHENSIVE,PREMIUM,USD,CANCELLED,1458.17,23652.96,1412.08,2024-08-15,2025-08-15,True,True,False
POL-317822895638,ZW-PH-8737564112,BB5XLGAF1U6HHBPZ8,COMPREHENSIVE,STANDARD,ZWG,EXPIRED,218.09,4608.71,294.50,2025-04-10,2026-04-10,False,False,False
POL-902855558313,ZW-PH-8737564112,AG4WJ8ZZK3WGH055F,THIRD_PARTY,STANDARD,ZWG,EXPIRED,610.60,8808.64,608.68,2024-09-12,2025-09-12,False,False,False
POL-124655449594,ZW-PH-7618168228,RGE0YY79W3KT1AKHH,COMPREHENSIVE,STANDARD,USD,ACTIVE,469.85,7877.30,489.97,2025-10-18,2026-10-18,True,True,False
POL-773709608778,ZW-PH-7878730695,8F0Y4V5STGX5HGD8V,COMPREHENSIVE,STANDARD,USD,ACTIVE,470.65,11327.82,686.47,2025-10-19,2026-10-19,False,False,True
POL-169751699244,ZW-PH-7878730695,M9BKXJ22WW5P95D55,COMPREHENSIVE,PREMIUM,USD,EXPIRED,1564.68,13725.20,754.89,2024-11-18,2025-11-18,True,True,True
POL-263383737911,ZW-PH-4440552049,EHA3RNJYK08HTBCLE,COMPREHENSIVE,BASIC,USD,EXPIRED,287.80,12525.41,1233.75,2024-12-09,2025-12-09,False,False,False
POL-605379559393,ZW-PH-4440552049,BFYE7AF8ZKNCZLS4V,COLLISION,STANDARD,USD,ACTIVE,539.36,10020.02,754.51,2025-07-12,2026-07-12,False,False,False
POL-566542847526,ZW-PH-8368112337,PWS2WNR6FGLVJBZ6S,COMPREHENSIVE,PREMIUM,USD,EXPIRED,119.85,2732.37,146.18,2024-09-16,2025-09-16,True,True,False
POL-760451527814,ZW-PH-8970727233,PBH00B77VSNZBFA7Z,COLLISION,STANDARD,USD,CANCELLED,711.11,20638.87,1401.38,2025-10-19,2026-10-19,False,False,True
POL-006054635176,ZW-PH-1210257252,FJ34WD6VPJFZD2L0V,COMPREHENSIVE,BASIC,USD,EXPIRED,193.76,7664.34,662.97,2024-10-31,2025-10-31,False,False,False
POL-054588148447,ZW-PH-0005115854,DHFTNUXRWW9PV1DVH,THIRD_PARTY,STANDARD,USD,ACTIVE,201.85,5441.50,406.48,2026-04-02,2027-04-02,False,True,False
POL-607218054990,ZW-PH-8817210687,GDYS4XBGZ1L0T4M1J,THIRD_PARTY,STANDARD,USD,EXPIRED,422.09,6251.97,392.62,2025-04-19,2026-04-19,False,False,False
POL-577919327888,ZW-PH-8817210687,2PZ86XEAJEGEA6ZZ9,COMPREHENSIVE,PREMIUM,USD,CANCELLED,231.16,5456.55,228.08,2024-09-04,2025-09-04,True,True,False
POL-395519366147,ZW-PH-6731973214,TFL0JMPSGCKE1S8JS,THIRD_PARTY,STANDARD,USD,EXPIRED,1204.35,24743.68,1905.26,2024-07-17,2025-07-17,True,False,False
POL-410456828430,ZW-PH-1199781811,3JH2N0A5ZD3LB981E,COMPREHENSIVE,PREMIUM,USD,EXPIRED,953.87,14410.49,660.00,2024-10-09,2025-10-09,True,False,True
POL-318745137739,ZW-PH-3596048515,PTGKEV4XZ9UMUT0D6,LIABILITY,BASIC,ZWG,CANCELLED,605.53,9637.74,896.31,2024-06-09,2025-06-09,False,False,False
POL-717089515814,ZW-PH-0481894942,72FEB42GPDNN0ZX1G,COMPREHENSIVE,STANDARD,USD,EXPIRED,458.70,13547.27,1010.63,2024-07-13,2025-07-13,True,False,True
POL-125827395200,ZW-PH-8207361858,3LJUMT48XZBVLWVTU,COMPREHENSIVE,BASIC,USD,ACTIVE,425.18,11177.37,1084.20,2026-01-15,2027-01-15,False,False,True
POL-619986762978,ZW-PH-4187892763,DVVA73TTB8TCHFWG8,COLLISION,STANDARD,USD,ACTIVE,1008.56,14773.96,998.72,2025-05-14,2026-05-14,False,False,False
POL-110421904781,ZW-PH-6417842507,M1TJY9A2PTFDZD127,COLLISION,STANDARD,ZWG,EXPIRED,361.74,6080.75,370.32,2025-03-21,2026-03-21,False,False,False
POL-789760401845,ZW-PH-6579517369,W1H8XMDL8NR5FLJFZ,COMPREHENSIVE,STANDARD,USD,EXPIRED,576.13,17798.06,1110.60,2024-04-26,2025-04-26,True,False,False
POL-002800196154,ZW-PH-5867771403,FAH7UR5RRNPX3TZNG,THIRD_PARTY,BASIC,USD,EXPIRED,225.05,9841.90,971.40,2024-04-29,2025-04-29,False,False,False
POL-346168722265,ZW-PH-7539198825,U6BXF0HXJNUHLZNF2,LIABILITY,PREMIUM,ZWG,EXPIRED,441.49,6872.71,363.57,2024-12-20,2025-12-20,False,True,True
POL-896712423183,ZW-PH-7539198825,J60FFCHLANUZYPMW7,COMPREHENSIVE,STANDARD,USD,ACTIVE,539.16,10199.61,679.29,2025-12-07,2026-12-07,False,False,False
POL-114235380933,ZW-PH-7539198825,ZC2VBLNCRSB1BEDEZ,COMPREHENSIVE,STANDARD,USD,CANCELLED,758.69,16563.03,1177.63,2025-02-02,2026-02-02,True,True,False
POL-641335231552,ZW-PH-3993391892,01GKN3WHSS3L16FT2,COMPREHENSIVE,BASIC,USD,EXPIRED,150.57,4235.93,384.62,2024-12-26,2025-12-26,False,False,False
POL-955682946493,ZW-PH-7992456358,K94CL5PVFSPCA7VS9,LIABILITY,PREMIUM,USD,EXPIRED,1834.04,12913.66,679.26,2024-06-06,2025-06-06,True,True,True
POL-571206336700,ZW-PH-0223604028,6CGMD3T1T6K2APW97,COMPREHENSIVE,STANDARD,USD,EXPIRED,196.85,8468.48,597.03,2024-12-18,2025-12-18,False,False,False
POL-948286377557,ZW-PH-9916510116,N7F9LUVP0MWNK5MBK,LIABILITY,STANDARD,USD,EXPIRED,383.86,5148.62,315.61,2024-07-07,2025-07-07,False,False,False
POL-557812236137,ZW-PH-9916510116,UTF84BDP1PYB3X8G5,COMPREHENSIVE,BASIC,USD,EXPIRED,2222.50,37591.17,3413.28,2025-01-24,2026-01-24,True,False,False
POL-047358752102,ZW-PH-3443434726,1CHH8NY2KGSKBKE8S,COMPREHENSIVE,STANDARD,USD,ACTIVE,690.06,19951.61,1592.14,2025-12-24,2026-12-24,False,True,True
POL-424949274031,ZW-PH-6092690288,5P21C7F8ND51SAKUA,COMPREHENSIVE,STANDARD,USD,ACTIVE,451.68,18906.78,1366.96,2025-08-18,2026-08-18,False,True,True
POL-710012477921,ZW-PH-9413926935,LWZUGVV44ZANUDLSV,COLLISION,BASIC,USD,CANCELLED,235.91,10569.91,884.70,2024-11-11,2025-11-11,False,False,True
POL-715877221207,ZW-PH-4903952637,25PWC02KWG2WNSZN6,COMPREHENSIVE,PREMIUM,USD,ACTIVE,792.32,13717.49,762.69,2026-04-13,2027-04-13,True,False,False
POL-824640618093,ZW-PH-4903952637,PH34BBDW635RP87F2,THIRD_PARTY,PREMIUM,USD,CANCELLED,650.27,9331.77,517.91,2024-04-28,2025-04-28,False,True,True
POL-588505782470,ZW-PH-4903952637,SZRPDNPCK03AF4U82,COMPREHENSIVE,STANDARD,USD,CANCELLED,968.53,14010.51,888.27,2025-03-21,2026-03-21,False,True,False
POL-967864529260,ZW-PH-9242964848,JNZTP5MGEE1B27MZ6,COMPREHENSIVE,BASIC,USD,ACTIVE,523.18,17115.29,1453.09,2025-10-24,2026-10-24,False,False,False
POL-743132898947,ZW-PH-4873334549,4RUS3836V3XECRDHJ,COMPREHENSIVE,STANDARD,USD,ACTIVE,209.02,6130.25,372.11,2025-06-06,2026-06-06,True,True,False
POL-172357585625,ZW-PH-0098309379,85BNCAD50M574WJV6,COMPREHENSIVE,STANDARD,USD,ACTIVE,985.92,28673.22,2081.68,2025-08-19,2026-08-19,False,True,False
POL-709788643209,ZW-PH-4540463303,4N4C8PCF9WFNDZ5SN,LIABILITY,BASIC,USD,EXPIRED,412.26,13350.44,1078.72,2024-05-17,2025-05-17,False,False,False
POL-050940385702,ZW-PH-0519670393,HZWJXCYSG5WJJ2B8N,THIRD_PARTY,BASIC,USD,ACTIVE,342.21,13567.71,1180.39,2025-10-11,2026-10-11,False,False,False
POL-910555667798,ZW-PH-9059963660,LB7V3WW0FJF5J5A1R,COMPREHENSIVE,STANDARD,USD,CANCELLED,977.23,30270.42,1894.93,2024-06-25,2025-06-25,False,False,True
POL-792528435340,ZW-PH-9165652487,WKFCDSKNCMTBYVD88,THIRD_PARTY,PREMIUM,USD,EXPIRED,292.07,3442.53,142.18,2024-12-02,2025-12-02,False,False,False
POL-187672340089,ZW-PH-9165652487,2WLA13SYVW0018X13,THIRD_PARTY,STANDARD,USD,CANCELLED,269.48,7674.28,542.57,2026-04-10,2027-04-10,True,False,False
POL-155965745514,ZW-PH-5034498948,PDUAGG28WLHEWU4JC,COLLISION,STANDARD,USD,ACTIVE,1030.44,12424.24,916.91,2025-07-10,2026-07-10,False,False,False
POL-288847565776,ZW-PH-9034229840,81K5TZTAWA731XK05,COMPREHENSIVE,PREMIUM,ZWG,CANCELLED,589.58,11368.77,649.16,2024-11-02,2025-11-02,False,True,False
POL-938824420735,ZW-PH-5284405076,3EWJ8ZGJF0Y837AUF,COMPREHENSIVE,STANDARD,USD,EXPIRED,277.43,8991.59,570.97,2024-12-23,2025-12-23,True,False,False
POL-686603157270,ZW-PH-2106704916,RE4J59L82V13UNESC,LIABILITY,STANDARD,USD,CANCELLED,1623.29,32247.32,2186.37,2024-08-11,2025-08-11,False,False,False
POL-715967588615,ZW-PH-2106704916,354MZNX0ABJKDZKWF,THIRD_PARTY,PREMIUM,USD,CANCELLED,333.27,4612.78,203.42,2025-03-05,2026-03-05,True,True,False
POL-256465262901,ZW-PH-9111703303,SWC0934TGW2SGUVG0,COLLISION,BASIC,USD,EXPIRED,2084.31,51171.62,4221.66,2024-06-17,2025-06-17,False,False,True
POL-486702480089,ZW-PH-0202430858,HMPTUG73S32L795TV,COMPREHENSIVE,STANDARD,USD,CANCELLED,1829.28,34929.62,2315.83,2024-06-12,2025-06-12,False,False,True
POL-984909854028,ZW-PH-0202430858,T7P1Z7LPUW1EHUPH5,THIRD_PARTY,BASIC,USD,ACTIVE,273.29,4939.67,450.00,2025-05-13,2026-05-13,False,False,False
POL-725372842693,ZW-PH-4628820088,FGRE1C4CD582719RJ,COMPREHENSIVE,STANDARD,USD,EXPIRED,885.67,13834.28,886.78,2024-08-23,2025-08-23,True,False,False
POL-864641336206,ZW-PH-4628820088,4CHFUM574HP4Y85HE,COMPREHENSIVE,BASIC,USD,SUSPENDED,82.04,3788.27,363.67,2025-12-21,2026-12-21,False,False,False
POL-889979039131,ZW-PH-1149991697,CS5VZ0NJ6BJW78PUM,COLLISION,STANDARD,ZWG,ACTIVE,814.73,19195.00,1439.63,2025-09-05,2026-09-05,False,False,False
POL-000731815028,ZW-PH-1149991697,ASNP6H9FJYBDEUXCK,LIABILITY,BASIC,USD,EXPIRED,243.52,9090.93,760.00,2024-05-29,2025-05-29,True,True,False
POL-388202333088,ZW-PH-6890585777,ZYS2SNJNHL1RFFU0S,COMPREHENSIVE,STANDARD,USD,ACTIVE,54.00,2297.34,169.54,2026-01-08,2027-01-08,False,False,True
POL-070631372997,ZW-PH-0586558171,4KB893MAJVJJ56164,COMPREHENSIVE,STANDARD,USD,CANCELLED,463.44,17553.27,1065.48,2025-01-26,2026-01-26,False,False,False
POL-354561507729,ZW-PH-0586558171,F0JAEDEGWHFA7K5CW,COMPREHENSIVE,STANDARD,USD,ACTIVE,634.07,14623.68,1124.56,2026-03-18,2027-03-18,False,True,False
POL-610450579108,ZW-PH-1092485080,WT4M15M7LLJLXXMLD,COMPREHENSIVE,STANDARD,USD,ACTIVE,537.36,10193.46,640.15,2026-01-31,2027-01-31,False,False,False
POL-320731409243,ZW-PH-3970202860,16B5NG2LTZD88UARV,THIRD_PARTY,STANDARD,USD,EXPIRED,308.16,4587.28,349.55,2025-01-22,2026-01-22,False,False,True
POL-057275321792,ZW-PH-4237613328,5V7BDUK9GMJTB7F7M,LIABILITY,STANDARD,ZWG,EXPIRED,855.79,19383.43,1283.18,2025-02-19,2026-02-19,False,True,False
POL-825831054488,ZW-PH-1655496510,GLWAP57GWP5NLRG0B,THIRD_PARTY,BASIC,USD,CANCELLED,180.66,3851.05,368.93,2025-04-16,2026-04-16,False,False,False
POL-578828544516,ZW-PH-2204870693,787ABRT8W4DVP2RA7,THIRD_PARTY,STANDARD,USD,EXPIRED,360.31,4650.60,279.97,2025-01-03,2026-01-03,True,False,False
POL-462008580037,ZW-PH-3695606985,4JMGWK8UUSJ5JLHT9,THIRD_PARTY,PREMIUM,USD,CANCELLED,514.01,8554.81,363.58,2025-02-23,2026-02-23,True,False,False
POL-712332121901,ZW-PH-3695606985,6P4TTLNMMXD06477D,COMPREHENSIVE,PREMIUM,USD,EXPIRED,1222.89,14119.20,576.06,2024-08-08,2025-08-08,True,False,False
POL-459469617701,ZW-PH-4255162989,GLWJ8UMPEEMHR17A2,THIRD_PARTY,STANDARD,USD,EXPIRED,461.92,9892.18,685.53,2024-11-13,2025-11-13,True,False,False
POL-641733031142,ZW-PH-9722267932,7CES3NP6NW9SSKD1L,COMPREHENSIVE,STANDARD,USD,CANCELLED,288.29,11058.12,838.21,2025-12-30,2026-12-30,True,False,False
POL-089507140312,ZW-PH-5284753468,CRDCP92ZT1VYXNHU3,COMPREHENSIVE,STANDARD,USD,EXPIRED,1277.54,47067.74,3675.99,2024-05-31,2025-05-31,True,False,True
POL-902589660824,ZW-PH-1865889370,FWMFBXXHLL463KJJR,THIRD_PARTY,BASIC,USD,CANCELLED,314.96,3991.06,328.86,2024-11-29,2025-11-29,False,False,False
POL-844996569035,ZW-PH-1477192087,1UNTVFE7DJW0F0V3M,COMPREHENSIVE,STANDARD,USD,ACTIVE,115.15,1720.22,131.94,2025-10-07,2026-10-07,False,False,False
POL-144592828208,ZW-PH-2918100981,80Z925E72HYAP0JTN,COMPREHENSIVE,PREMIUM,USD,ACTIVE,178.20,3053.70,125.20,2025-06-21,2026-06-21,False,True,False
POL-285714775270,ZW-PH-6453549843,SD77F83E833L8V0LN,COMPREHENSIVE,BASIC,USD,ACTIVE,413.96,12813.26,1203.17,2026-01-05,2027-01-05,False,False,True
POL-026888218346,ZW-PH-7162200141,XZZW5XW3R1ZHD6A47,COMPREHENSIVE,PREMIUM,ZWG,CANCELLED,266.58,8902.65,378.36,2025-03-13,2026-03-13,True,True,False
POL-012386489964,ZW-PH-8429399058,DRFGV7NYNX3C58K0Y,COMPREHENSIVE,BASIC,USD,EXPIRED,191.72,12717.98,1247.63,2025-04-22,2026-04-22,False,False,False
POL-597506863351,ZW-PH-2422835581,0XPPNYZNLAG992KGN,THIRD_PARTY,PREMIUM,ZWG,ACTIVE,429.29,7246.85,305.09,2025-05-21,2026-05-21,False,False,True
POL-902147718242,ZW-PH-2422835581,JXCH23UZGGDKS8BAP,COMPREHENSIVE,STANDARD,ZWG,EXPIRED,570.67,12621.47,864.57,2024-09-10,2025-09-10,True,False,False
POL-399463709090,ZW-PH-6148175422,RE9RS96YNWHASYSJ9,THIRD_PARTY,BASIC,USD,ACTIVE,663.67,13157.52,1134.18,2026-01-17,2027-01-17,False,False,False
POL-266099190508,ZW-PH-7863330883,0277R88RX2AJ7EF17,COLLISION,STANDARD,ZWG,ACTIVE,154.34,2828.69,219.22,2026-01-12,2027-01-12,True,False,False
POL-069122607691,ZW-PH-7863330883,7EV3D69S53BG14YJT,THIRD_PARTY,STANDARD,ZWG,EXPIRED,1100.05,28413.85,2185.03,2024-12-04,2025-12-04,True,False,False
POL-935965867621,ZW-PH-8523675589,A5V7YZW3PNVWTTZ3P,COLLISION,STANDARD,ZWG,ACTIVE,933.58,10771.56,780.94,2025-11-28,2026-11-28,True,True,False
POL-201029847222,ZW-PH-3498285459,3U6KB9RCEMCRBD3J5,COMPREHENSIVE,BASIC,USD,CANCELLED,246.87,4911.81,410.63,2026-04-09,2027-04-09,False,False,False
POL-687730512969,ZW-PH-6601199077,BG2CBWKHW19AMRUNE,COMPREHENSIVE,PREMIUM,USD,ACTIVE,292.71,7670.27,307.58,2025-10-25,2026-10-25,True,False,True
POL-891579731127,ZW-PH-1645697897,71SWCRSKEXJ8DAY25,COMPREHENSIVE,STANDARD,USD,ACTIVE,215.56,7184.21,440.39,2025-09-27,2026-09-27,False,False,False
POL-085793471325,ZW-PH-1969689289,ZKZE4LR3D0K3KT8V4,COMPREHENSIVE,STANDARD,ZWG,EXPIRED,985.71,14300.39,983.87,2024-04-25,2025-04-25,False,False,False
POL-496647490134,ZW-PH-1969689289,M8MW0XWLPMKYTPRJV,COMPREHENSIVE,STANDARD,ZWG,CANCELLED,627.57,13547.51,1044.51,2025-03-05,2026-03-05,False,False,False
POL-136405391775,ZW-PH-5287094620,9ZELDAVG8BB4DXVPC,COLLISION,PREMIUM,USD,EXPIRED,1329.90,12064.78,608.06,2024-08-23,2025-08-23,True,False,False
POL-239268754744,ZW-PH-6382194526,TB6LY89J8D79B0XK8,LIABILITY,STANDARD,USD,ACTIVE,544.68,7968.15,546.62,2025-09-18,2026-09-18,True,False,False
POL-673778585579,ZW-PH-3935268131,CZDNL3NBVDSAEBJZG,COMPREHENSIVE,BASIC,USD,ACTIVE,726.53,23038.59,2200.19,2025-09-26,2026-09-26,False,False,False
POL-686125334947,ZW-PH-4176395612,9V8NDHAEG46M5MXW7,LIABILITY,STANDARD,ZWG,ACTIVE,1004.36,8457.50,534.51,2026-03-12,2027-03-12,True,False,False
POL-836507162888,ZW-PH-1486504120,CHK5ANC8PDEM9KVJR,COMPREHENSIVE,BASIC,ZWG,ACTIVE,240.85,9562.08,872.06,2025-09-18,2026-09-18,False,False,False
POL-872488754737,ZW-PH-8756706566,AYNUMLTHR165NE6Z2,COMPREHENSIVE,STANDARD,USD,EXPIRED,358.97,11417.76,769.56,2024-08-21,2025-08-21,False,False,False
POL-328689478717,ZW-PH-6826109403,11ZPGWMTDCCG0X3GX,COMPREHENSIVE,STANDARD,USD,SUSPENDED,136.61,2148.47,166.08,2026-01-26,2027-01-26,False,False,False
POL-365038550357,ZW-PH-5981692791,LSAKCHT9F43J17HLB,COMPREHENSIVE,PREMIUM,USD,EXPIRED,1961.25,41201.01,2294.90,2024-10-20,2025-10-20,True,True,True
POL-431825944755,ZW-PH-2807776870,1ZSMJM00AGEX7P6NW,THIRD_PARTY,BASIC,USD,EXPIRED,388.07,8564.86,696.32,2024-06-08,2025-06-08,True,False,False
POL-269235153776,ZW-PH-3040502233,XXWD0PLRFDU95B23R,COMPREHENSIVE,STANDARD,USD,CANCELLED,370.29,9395.28,651.09,2024-11-14,2025-11-14,False,True,True
POL-657809645075,ZW-PH-1381550628,D34JL7975XNFXZSL7,THIRD_PARTY,PREMIUM,USD,ACTIVE,912.63,9058.29,481.90,2025-07-10,2026-07-10,True,False,True
POL-131392032008,ZW-PH-3961932817,A2G1E7H5NDH2XY9XL,COMPREHENSIVE,PREMIUM,ZWG,ACTIVE,1436.19,36042.80,1798.54,2025-07-09,2026-07-09,True,False,True
POL-579595341273,ZW-PH-3961932817,UL7FFFR2GX3KVLLKF,COMPREHENSIVE,BASIC,USD,CANCELLED,366.01,16023.87,1498.23,2025-06-18,2026-06-18,False,False,False
POL-090467028711,ZW-PH-9815581788,4RHGACC918M43GWN4,THIRD_PARTY,STANDARD,ZWG,EXPIRED,3441.24,28860.61,1939.43,2025-01-14,2026-01-14,False,False,False
POL-242032874900,ZW-PH-8901711592,0EXSDS7J8M8CXPVGT,COMPREHENSIVE,STANDARD,USD,EXPIRED,576.68,11415.27,905.23,2025-03-20,2026-03-20,False,False,False
POL-196698665437,ZW-PH-2612230207,WJ1VJA8ASR89B8S9Y,COMPREHENSIVE,STANDARD,USD,EXPIRED,624.07,9156.77,580.54,2025-01-11,2026-01-11,False,False,False
POL-786445006235,ZW-PH-9723045416,CHATYHMD2YLZ3ME69,COLLISION,BASIC,USD,ACTIVE,582.96,14294.87,1335.14,2025-05-15,2026-05-15,False,False,False
POL-389565731571,ZW-PH-2597428455,BM50KMCHVK41Y0BXK,COLLISION,STANDARD,USD,CANCELLED,648.52,23897.11,1479.23,2024-12-09,2025-12-09,False,False,False
POL-523004617834,ZW-PH-7745906051,4DPVE4NZLXSU508PT,COMPREHENSIVE,BASIC,USD,EXPIRED,107.94,3718.56,309.76,2024-06-14,2025-06-14,False,False,False
POL-119496547785,ZW-PH-7745906051,FXWJJ3Y9JHSZLS4JW,COMPREHENSIVE,BASIC,USD,ACTIVE,426.12,23018.25,1848.37,2026-04-17,2027-04-17,False,False,False
POL-031512976844,ZW-PH-5364273340,CT260UZ1SBDKAYJ0J,LIABILITY,BASIC,USD,EXPIRED,311.34,4174.79,377.82,2024-09-27,2025-09-27,False,False,False
POL-549400226100,ZW-PH-1932016880,YEPMKRZ55A9UU9SP1,COMPREHENSIVE,STANDARD,USD,ACTIVE,133.22,2819.70,197.94,2026-03-09,2027-03-09,False,False,True
POL-745294308910,ZW-PH-0774643016,GS585W90H8RCAF4ZG,THIRD_PARTY,STANDARD,USD,ACTIVE,450.35,5092.16,327.43,2025-07-08,2026-07-08,True,True,False
POL-158509671866,ZW-PH-5312062209,SHSX47UCUTD71R52B,COLLISION,PREMIUM,USD,EXPIRED,377.66,4490.05,228.09,2025-02-16,2026-02-16,True,False,True
POL-095706146388,ZW-PH-5387647828,JNA4TAVS834GAS9D5,LIABILITY,STANDARD,USD,ACTIVE,688.08,13050.88,948.80,2025-06-12,2026-06-12,False,False,True
POL-608934123964,ZW-PH-1966039964,4XX8PTV79X59CC41G,COMPREHENSIVE,PREMIUM,USD,ACTIVE,1492.73,17434.55,929.26,2026-04-08,2027-04-08,False,False,True
POL-210838657527,ZW-PH-8375662454,K6PHRY0N14TBHRA96,COMPREHENSIVE,BASIC,USD,ACTIVE,496.69,10221.47,947.53,2025-10-18,2026-10-18,False,False,False
POL-205341767912,ZW-PH-6353162020,DTTTA3K8SH8VZ5ENW,COLLISION,STANDARD,USD,CANCELLED,472.61,5068.07,371.49,2024-09-25,2025-09-25,False,False,False
POL-812040294567,ZW-PH-4269177919,MRT4FDR08LPSTSYRH,THIRD_PARTY,STANDARD,USD,ACTIVE,1125.06,15134.90,920.20,2025-05-11,2026-05-11,False,False,False
POL-123437016662,ZW-PH-8951183270,ABZ8659YNDL8YWZAV,LIABILITY,STANDARD,USD,ACTIVE,779.39,17637.50,1382.78,2025-05-12,2026-05-12,True,False,False
POL-138877188568,ZW-PH-5407142185,NUGEZRGRNDMZVVV58,COLLISION,STANDARD,USD,CANCELLED,256.02,6236.57,478.34,2025-01-18,2026-01-18,True,False,False
POL-003740061448,ZW-PH-5407142185,C3FF33X3HSAZBHF7T,COMPREHENSIVE,PREMIUM,USD,ACTIVE,520.08,17893.94,885.75,2026-03-11,2027-03-11,True,True,False
POL-931652356621,ZW-PH-0690900136,ATJKC987T6JLF74L8,LIABILITY,BASIC,USD,ACTIVE,819.20,10520.79,990.01,2026-04-19,2027-04-19,False,False,True
POL-975391825715,ZW-PH-4718979290,YAR3XHCZ0T8Z5P0XT,COMPREHENSIVE,STANDARD,USD,ACTIVE,354.55,8628.23,596.21,2025-10-01,2026-10-01,False,False,False
POL-773277100787,ZW-PH-1150108873,GW4G3WXX834AA26FV,COLLISION,STANDARD,USD,EXPIRED,1061.15,9830.90,733.39,2024-04-23,2025-04-23,False,False,True
POL-827949221548,ZW-PH-9785392174,T8WTSVVFKJFGMV0XN,THIRD_PARTY,BASIC,USD,EXPIRED,135.75,3067.23,250.59,2024-05-18,2025-05-18,False,False,False
POL-716922022770,ZW-PH-1870737851,NW234GZ1MXMTPU8K2,THIRD_PARTY,PREMIUM,USD,ACTIVE,125.10,1666.78,86.67,2025-11-12,2026-11-12,True,False,True
POL-552300781443,ZW-PH-8985907619,M4WPC0LPNZ7BZ30SB,COMPREHENSIVE,BASIC,USD,CANCELLED,875.76,35287.53,3126.48,2024-08-16,2025-08-16,False,False,False
POL-872192904038,ZW-PH-8985907619,ZKR3JT9U0Z0CDKRLP,COMPREHENSIVE,BASIC,USD,EXPIRED,102.34,2145.56,173.15,2025-01-01,2026-01-01,False,False,False
POL-018371604193,ZW-PH-1906013754,SKR8HKA0SLMAZZGG9,THIRD_PARTY,BASIC,ZWG,CANCELLED,442.50,12447.78,1000.80,2025-08-13,2026-08-13,False,False,True
POL-977312412665,ZW-PH-1906013754,4BLUL5N6GCR8U07ST,THIRD_PARTY,STANDARD,USD,EXPIRED,1114.75,20496.26,1529.02,2025-03-03,2026-03-03,False,True,True
POL-609027032459,ZW-PH-8933787097,V3RJVCT5SY83621WU,COLLISION,BASIC,ZWG,EXPIRED,1191.94,28151.57,2330.95,2024-06-25,2025-06-25,False,False,False
POL-686985620563,ZW-PH-4541859139,84KSLZ3GJZS7EZ4UR,THIRD_PARTY,BASIC,USD,EXPIRED,486.31,10993.26,1021.27,2024-05-25,2025-05-25,False,False,False
POL-144702104355,ZW-PH-2874242944,07U6CPGJV68PETR18,COMPREHENSIVE,STANDARD,USD,EXPIRED,73.72,3801.87,280.96,2024-12-15,2025-12-15,False,True,True
POL-399148333726,ZW-PH-4420101682,W1TU7N0506WW0V178,COMPREHENSIVE,STANDARD,USD,ACTIVE,149.05,2404.31,166.38,2026-01-02,2027-01-02,True,False,True
POL-604234977178,ZW-PH-7786202907,Z00JPKJLZG0F77LNY,THIRD_PARTY,BASIC,USD,EXPIRED,346.74,12584.65,1123.81,2024-05-14,2025-05-14,False,False,True
